ID	Site	Domain	Final_Status	Pipeline_PR	PR_State	Branch_Action
1	12go-asia	12go.asia	final		no-pr	keep-existing-sites-branch
2	1password-web	1password.com	final		no-pr	keep-existing-sites-branch
3	ace-hardware	acehardware.com	final		no-pr	keep-existing-sites-branch
4	airbnb	airbnb.com	final		no-pr	keep-existing-sites-branch
5	airtable	airtable.com	final		no-pr	keep-existing-sites-branch
6	amazon-home-services	amazon.com/services	final		no-pr	keep-existing-sites-branch
7	amc-theatres	amctheatres.com	not-final	#1	open-draft	migrate-pr-head-to-sites-branch
8	angi	angi.com	not-final	#57	open-draft	migrate-pr-head-to-sites-branch
9	asana	app.asana.com	not-final	#44	open-draft	migrate-pr-head-to-sites-branch
10	aspca	aspca.org/adopt-pet	not-final	#46	closed-unmerged	review-closed-pr-before-migration
11	aspca-pet-health-insurance	aspcapetinsurance.com	not-final		no-pr	create-planned-empty-sites-branch
12	confluence	atlassian.com/software/confluence	final	#62	open-ready	keep-existing-sites-branch
13	autoslash	https://www.autoslash.com	final	#61	open-ready	keep-existing-sites-branch
14	autotrader	autotrader.co.uk	final	#60	open-ready	keep-existing-sites-branch
15	bark	bark.com	final	#59	open-ready	keep-existing-sites-branch
16	bean-box	beanbox.com	final	#50	open-ready	keep-existing-sites-branch
17	beeradvocate	beeradvocate.com	final	#48	open-ready	keep-existing-sites-branch
18	betterhelp	betterhelp.com	final	#49	open-ready	keep-existing-sites-branch
19	blinkist	blinkist.com	final	#17	merged	keep-existing-sites-branch
20	bluemercury	bluemercury.com	final	#43	open-ready	keep-existing-sites-branch
21	booking-com	booking.com	final	#53	open-draft	keep-existing-sites-branch
22	booksy	booksy.com	final	#54	open-ready	keep-existing-sites-branch
23	bowlero	bowlero.com	not-final		no-pr	create-planned-empty-sites-branch
24	breakout-games	breakoutgames.com	not-final	#126	open-draft	migrate-pr-head-to-sites-branch
25	bringfido	bringfido.com	not-final	#125	open-draft	migrate-pr-head-to-sites-branch
26	calendly	calendly.com	final	#58	open-draft	keep-existing-sites-branch
27	capterra	capterra.com	final		no-pr	keep-existing-sites-branch
28	careerbuilder	careerbuilder.com	not-final		no-pr	create-planned-empty-sites-branch
29	charity-village	charityvillage.com	not-final		no-pr	create-planned-empty-sites-branch
30	cineplex	cineplex.com	not-final	#113	open-ready	migrate-pr-head-to-sites-branch
31	clickup	clickup.com	not-final		no-pr	create-planned-empty-sites-branch
32	coolors	coolors.co	not-final		no-pr	create-planned-empty-sites-branch
33	coursera	coursera.org	final	#97	open-draft	keep-existing-sites-branch
34	craigslist	craigslist.org	final	#93	merged	keep-existing-sites-branch
35	creativebug	creativebug.com	not-final		no-pr	create-planned-empty-sites-branch
36	crumbl	crumbl.com	final	#96	open-ready	keep-existing-sites-branch
37	crunchyroll	crunchyroll.com	not-final	#115	open-draft	migrate-pr-head-to-sites-branch
38	curology	curology.com	not-final	#135	open-ready	migrate-pr-head-to-sites-branch
39	doctors-without-borders-msf	doctorswithoutborders.org	not-final	#133	open-ready	migrate-pr-head-to-sites-branch
40	doodle	doodle.com	not-final	#134	open-ready	migrate-pr-head-to-sites-branch
41	dooney-bourke	dooney.com	not-final	#121	open-ready	migrate-pr-head-to-sites-branch
42	doordash	doordash.com	not-final	#122	open-ready	migrate-pr-head-to-sites-branch
43	edx	edx.org	final	#99	open-ready	keep-existing-sites-branch
44	embark	embarkvet.com	not-final	#123	open-ready	migrate-pr-head-to-sites-branch
45	eventbrite	eventbrite.com	final	#98	open-ready	keep-existing-sites-branch
46	everydollar	everydollar.com	not-final		no-pr	create-planned-empty-sites-branch
47	fandango	fandango.com	not-final		no-pr	create-planned-empty-sites-branch
48	fenty-beauty	fentybeauty.com	not-final		no-pr	create-planned-empty-sites-branch
49	flixbus	flixbus.com	not-final	#80	open-ready	migrate-pr-head-to-sites-branch
50	formswift	formswift.com	not-final		no-pr	create-planned-empty-sites-branch
51	freshdesk	freshdesk.com	not-final		no-pr	create-planned-empty-sites-branch
52	frontfundr	frontfundr.com	not-final		no-pr	create-planned-empty-sites-branch
53	g2	g2.com	not-final		no-pr	create-planned-empty-sites-branch
54	ghost	ghost.org	not-final		no-pr	create-planned-empty-sites-branch
55	github	github.com	not-final		no-pr	create-planned-empty-sites-branch
56	glassdoor	glassdoor.com	not-final		no-pr	create-planned-empty-sites-branch
57	globalgiving	globalgiving.org	not-final		no-pr	create-planned-empty-sites-branch
58	goodreads	goodreads.com	not-final	#10	open-draft	migrate-pr-head-to-sites-branch
59	greenhouse-meta	greenhouse.com	not-final		no-pr	create-planned-empty-sites-branch
60	hipcamp	hipcamp.com	final		no-pr	keep-existing-sites-branch
61	hired	hired.com	not-final		no-pr	create-planned-empty-sites-branch
62	home-depot	homedepot.com	not-final	#8	open-draft	migrate-pr-head-to-sites-branch
63	humble-bundle	humblebundle.com	not-final		no-pr	create-planned-empty-sites-branch
64	idealist	idealist.org	not-final		no-pr	create-planned-empty-sites-branch
65	indeed	indeed.com	not-final		no-pr	create-planned-empty-sites-branch
66	inmyarea	inmyarea.com	not-final		no-pr	create-planned-empty-sites-branch
67	instacart	instacart.com	not-final		no-pr	create-planned-empty-sites-branch
68	insureon	insureon.com	final	#90	open-draft	keep-existing-sites-branch
69	insurify	insurify.com	final	#91	open-draft	keep-existing-sites-branch
70	ioby	ioby.org	final	#92	open-draft	keep-existing-sites-branch
71	ipvanish	ipvanish.com	not-final		no-pr	create-planned-empty-sites-branch
72	jefit	jefit.com	not-final		no-pr	create-planned-empty-sites-branch
73	deleteme	joindeleteme.com	not-final		no-pr	create-planned-empty-sites-branch
74	jopwell	jopwell.com	not-final		no-pr	create-planned-empty-sites-branch
75	kanetix	kanetix.ca	not-final	#129	open-ready	migrate-pr-head-to-sites-branch
76	king-arthur-baking	kingarthurbaking.com	not-final	#131	open-draft	migrate-pr-head-to-sites-branch
77	leetcode	leetcode.com	final	#2	open-ready	keep-existing-sites-branch
78	legalnature	legalnature.com	final	#4	open-ready	keep-existing-sites-branch
79	lowes	lowes.com	final	#11	open-ready	keep-existing-sites-branch
80	mac-cosmetics	maccosmetics.com	final	#5	open-ready	keep-existing-sites-branch
81	purelymail	mail.google.com	final	#3	open-draft	keep-existing-sites-branch
82	mailchimp	mailchimp.com	not-final		no-pr	create-planned-empty-sites-branch
83	mansur-gavriel	mansurgavriel.com	final	#24	open-ready	keep-existing-sites-branch
84	masterclass	masterclass.com	final	#112	open-draft	keep-existing-sites-branch
85	mistobox	mistobox.com	final	#114	open-draft	keep-existing-sites-branch
86	momondo	momondo.com	not-final	#40	open-ready	migrate-pr-head-to-sites-branch
